layer,target_table,target_column,source_tables,logic,group_by
CDP,CDP_CUSTOMER_360,CUSTOMER_ID,FDP_CUSTOMER_PROFILE,"DIRECT",CUSTOMER_ID
CDP,CDP_CUSTOMER_360,CUSTOMER_NAME,FDP_CUSTOMER_PROFILE,"DIRECT",CUSTOMER_ID
CDP,CDP_CUSTOMER_360,CUSTOMER_TYPE,FDP_CUSTOMER_PROFILE,"DIRECT",CUSTOMER_ID
CDP,CDP_CUSTOMER_360,KYC_STATUS,FDP_CUSTOMER_PROFILE,"DIRECT",CUSTOMER_ID
CDP,CDP_CUSTOMER_360,ACTIVE_ACCOUNTS,FDP_CUSTOMER_PROFILE,"DIRECT",CUSTOMER_ID

CDP,CDP_CUSTOMER_360,TOTAL_BALANCE,FDP_ACCOUNT_BALANCE,"SUM(CURRENT_BALANCE)",CUSTOMER_ID
CDP,CDP_CUSTOMER_360,LAST_TXN_DATE,FDP_ACCOUNT_BALANCE,"MAX(LAST_TXN_DATE)",CUSTOMER_ID

CDP,CDP_CUSTOMER_360,TOTAL_TXNS,FDP_CARD_USAGE,"SUM(TOTAL_TXNS)",CUSTOMER_ID
CDP,CDP_CUSTOMER_360,TOTAL_CARD_SPEND,FDP_CARD_USAGE,"SUM(TOTAL_SPEND)",CUSTOMER_ID

CDP,CDP_CUSTOMER_360,TOTAL_TRANSPORT_SPEND,FDP_TRANSPORT_SPEND,"SUM(TOTAL_FARE)",CUSTOMER_ID
CDP,CDP_CUSTOMER_360,LAST_TRAVEL_DATE,FDP_TRANSPORT_SPEND,"MAX(LAST_TRAVEL_DATE)",CUSTOMER_ID

CDP,CDP_CUSTOMER_360,CUSTOMER_SEGMENT,DERIVED,"CASE WHEN TOTAL_BALANCE > 100000 AND TOTAL_CARD_SPEND > 50000 THEN 'PLATINUM' WHEN TOTAL_BALANCE > 50000 THEN 'GOLD' WHEN TOTAL_BALANCE > 10000 THEN 'SILVER' ELSE 'BRONZE' END",CUSTOMER_ID
