layer,target_table,target_column,source_tables,logic,group_by
FDP,FDP_CUSTOMER_PROFILE,ACTIVE_ACCOUNTS,ODP_ACCOUNT,"COUNT(DISTINCT ACCOUNT_ID) WHERE STATUS='ACTIVE'",CUSTOMER_ID

FDP,FDP_ACCOUNT_BALANCE,TOTAL_CREDIT,ODP_TRANSACTION,"SUM(AMOUNT) WHERE TXN_TYPE='CREDIT'",ACCOUNT_ID
FDP,FDP_ACCOUNT_BALANCE,TOTAL_DEBIT,ODP_TRANSACTION,"SUM(AMOUNT) WHERE TXN_TYPE='DEBIT'",ACCOUNT_ID
FDP,FDP_ACCOUNT_BALANCE,CURRENT_BALANCE,ODP_TRANSACTION,"TOTAL_CREDIT - TOTAL_DEBIT",ACCOUNT_ID
FDP,FDP_ACCOUNT_BALANCE,LAST_TXN_DATE,ODP_TRANSACTION,"MAX(TXN_DATE)",ACCOUNT_ID

FDP,FDP_CARD_USAGE,TOTAL_TXNS,ODP_TRANSACTION,"COUNT(TXN_ID) JOIN ODP_CARD ON ACCOUNT_ID",CARD_ID
FDP,FDP_CARD_USAGE,TOTAL_SPEND,ODP_TRANSACTION,"SUM(AMOUNT) JOIN ODP_CARD ON ACCOUNT_ID",CARD_ID
FDP,FDP_CARD_USAGE,LAST_USED_DATE,ODP_TRANSACTION,"MAX(TXN_DATE)",CARD_ID

FDP,FDP_TRANSPORT_SPEND,TOTAL_TRIPS,ODP_TRANSPORT_TICKET,"COUNT(TICKET_ID)",CUSTOMER_ID,TRANSPORT_MODE
FDP,FDP_TRANSPORT_SPEND,TOTAL_FARE,ODP_TRANSPORT_TICKET,"SUM(FARE_AMOUNT)",CUSTOMER_ID,TRANSPORT_MODE
FDP,FDP_TRANSPORT_SPEND,LAST_TRAVEL_DATE,ODP_TRANSPORT_TICKET,"MAX(JOURNEY_DATE)",CUSTOMER_ID,TRANSPORT_MODE
